Rank,Year_of_Rank,Award_Category,Name,Park,Location,Supplier,Year_Built
15,2012,Wooden,Thunderbolt,Kennywood,"West Mifflin, Pa.",Vettel/Miller,1968
16,2012,Wooden,Jack Rabbit,Kennywood,"West Mifflin, Pa.",PTC – Miller,1920
17,2012,Wooden,Giant Dipper,Santa Cruz Beach Boardwalk,"Santa Cruz, Calif.",Prior & Church/Looff,1924
18,2012,Wooden,The Legend,Holiday World,"Santa Claus, Ind.",CCI,2000
19,2012,Wooden,Colossos,Heide Park,"Soltau, Germany",Intamin,2001
20,2012,Wooden,Comet,Six Flags Great Escape,"Lake George, N.Y.",PTC – Schmeck,1994
21,2012,Wooden,Tremors,Silverwood,"Athol, Idaho",CCI,1999
22,2012,Wooden,Kentucky Rumbler,Beech Bend,"Bowling Green, Ky.",GCII,2006
23,2012,Wooden,GhostRider,Knott's Berry Farm,"Buena Park, Calif.",CCI,1998
24,2012,Wooden,Twister,Gröna Lund,"Stockholm, Sweden",Gravity Group,2011
25,2012,Wooden,Troy,Toverland,"Sevenum, the Netherlands",GCII,2007
26,2012,Wooden,Viper,Six Flags Great America,"Gurnee, Ill.",Starkey/Six Flags,1995
27,2012,Wooden,Megafobia,Oakwood Leisure Park,"Pembrokshire, Wales",CCI,1996
28,2012,Wooden,Apocalypse,Six Flags Magic Mountain,"Valencia, Calif.",GCII,2009
29,2012,Wooden,Playland Wooden Coaster,PNE Playland,"Vancouver, B.C., Canada",Phare,1958
30,2012,Wooden,Grand National,Blackpool Pleasure Beach,"Blackpool, England",Paige,1935
31,2012,Wooden,American Thunder,Six Flags St. Louis,"Eureka, Mo.",GCII,2008
32,2012,Wooden,Wooden Warrior,Quassy Amusement Park,"Middlebury, Conn.",Gravity Group,2011
33,2012,Wooden,Twister,Knoebels Amusement Resort,"Elysburg, Pa.",Fetterman-Knoebels,1999
34,2012,Wooden,El Toro,Freizeitpark Plohn,"Lengenfeld, Germany",GCII,2009
35,2012,Wooden,Thunderbird,PowerPark,"Alahärmä, Finland",GCII,2006
36,2012,Wooden,Avalanche,Timber Falls,"Wisconsin Dells, Wis.",S & S,2004
37,2012,Wooden,Tonnerre de Zeus,Parc Asterix,"Plailly, France",CCII,1997
38,2012,Wooden,Blue Streak,Cedar Point,"Sandusky, Ohio",PTC – Hoover,1964
39,2012,Wooden,Boardwalk Bullet,Kemah Boardwalk,"Kemah, Texas",M&V/Gravity Group,2007
39,2012,Wooden,Cornball Express,Indiana Beach,"Monticello, Ind.",CCI,2001
41,2012,Wooden,Rutschebanan,Tivoli Gardens,"Copenhagen, Denmark",LaMarcus Thompson,ca. 1914
42,2012,Wooden,The Boss,Six Flags St. Louis,"Eureka, Mo.",CCI,2000
42,2012,Wooden,Racer,Kennywood,"West Mifflin, Pa.",PTC – Miller,1927
44,2012,Wooden,Blue Streak,Conneaut Lake Park,"Conneaut Lake, Pa.",Vettel,1938
45,2012,Wooden,Mean Streak,Cedar Point,"Sandusky, Ohio",Dinn-Summers,1991
46,2012,Wooden,T Express,Everland,"Yonjin-si, South Korea",Intamin,2008
46,2012,Wooden,Timber Terror,Silverwood,"Athol, Idaho",CCI,1996
48,2012,Wooden,Great American Scream Machine,Six Flags Over Georgia,"Austell, Ga.",PTC – Allen,1973
49,2012,Wooden,Wild Mouse,Blackpool Pleasure Beach,"Blackpool, England",Wright,1958
50,2012,Wooden,Renegade,Valleyfair,"Shakopee, Minn.",GCII,2007
1,2011,Wooden,The Voyage,Holiday World,"Santa Claus, Ind.",Gravity Group,2006
2,2011,Wooden,Phoenix,Knoebels Amusement Resort,"Elysburg, Pa.",Dinn/PTC-Schmeck,1985
3,2011,Wooden,El Toro,Six Flags Great Adventure,"Jackson, N.J.",Intamin,2006
4,2011,Wooden,Boulder Dash,Lake Compounce,"Bristol, Conn.",CCI,2000
5,2011,Wooden,Thunderhead,Dollywood,"Pigeon Forge, Tenn.",GCII,2004
6,2011,Wooden,Ravine Flyer II,Waldameer,"Erie, Pa.",Gravity Group,2008
7,2011,Wooden,The Beast,Kings Island,"Kings Mills, Ohio",KECO,1979
8,2011,Wooden,Hades 360,Mt. Olympus Theme Park,"Wisconsin Dells, Wis.",Gravity Group,2005
9,2011,Wooden,Shivering Timbers,Michigan's Adventure,"Muskegon, Mich.",CCI,1998
10,2011,Wooden,Prowler,Worlds of Fun,"Kansas City, Mo.",GCII,2009
11,2011,Wooden,Lightning Racer,Hersheypark,"Hershey, Pa.",GCII,2000
12,2011,Wooden,The Raven,Holiday World,"Santa Claus, Ind.",CCI,1995
13,2011,Wooden,Balder,Liseberg,"Gothenburg, Sweden",Intamin,2003
14,2011,Wooden,Thunderbolt,Kennywood,"West Mifflin, Pa.",Vettel/Miller,1968
15,2011,Wooden,Cyclone,Coney Island,"Brooklyn, N.Y.",Keenan/Baker,1927
16,2011,Wooden,Kentucky Rumbler,Beech Bend,"Bowling Green, Ky.",GCII,2006
17,2011,Wooden,Boardwalk Bullet,Kemah Boardwalk,"Kemah, Texas",M&V/Gravity Group,2007
18,2011,Wooden,The Legend,Holiday World,"Santa Claus, Ind.",CCI,2000
19,2011,Wooden,Comet,Six Flags Great Escape,"Lake George, N.Y.",PTC-Schmeck,1994
20,2011,Wooden,Megafobia,Oakwood Leisure Park,"Pembrokshire, Wales",CCI,1996
20,2011,Wooden,Twister,Knoebels Amusement Resort,"Elysburg, Pa.",Fetterman-Knoebels,1999
22,2011,Wooden,American Thunder,Six Flags St. Louis,"Eureka, Mo.",GCII,2008
23,2011,Wooden,Jack Rabbit,Kennywood,"West Mifflin, Pa.",PTC – Miller,1920
24,2011,Wooden,Cornball Express,Indiana Beach,"Monticello, Ind.",CCI,2004
25,2011,Wooden,Grand National,Blackpool Pleasure Beach,"Blackpool, England",Paige,1935
26,2011,Wooden,Renegade,Valleyfair,"Shakopee, Minn.",GCII,2007
27,2011,Wooden,GhostRider,Knott's Berry Farm,"Buena Park, Calif.",CCI,1998
28,2011,Wooden,Giant Dipper,Santa Cruz Beach Boardwalk,"Santa Cruz, Calif.",Prior & Church/Looff,1924
29,2011,Wooden,Colossos,Heide Park,"Soltau, Germany",Intamin,2001
30,2011,Wooden,Avalanche,Timber Falls,"Wisconsin Dells, Wis.",S&S,2004
31,2011,Wooden,Tremors,Silverwood,"Athol, Idaho",CCI,1999
32,2011,Wooden,Rampage,Alabama Splash Adventure,"Bessemer, Ala.",CCI,1998
33,2011,Wooden,Troy,Toverland,"Sevenum, The Netherlands",GCII,2007
34,2011,Wooden,Playland Wooden Coaster,PNE Playland,"Vancouver, B.C. Canada",Phare,1958
35,2011,Wooden,El Toro,Freizeitpark Plohn,"Lengenfeld, Germany",GCII,2009
36,2011,Wooden,Apocalypse,Six Flags Magic Mountain,"Valencia, Calif.",GCII,2009
36,2011,Wooden,Twister,Gröna Lund,"Stockholm, Sweden",Gravity Group,2011
38,2011,Wooden,Thunderbird,PowerPark,"Alahärmä, Finland",GCII,2006
39,2011,Wooden,T Express,Everland,"Yongin-si, South Korea",Intamin,2008
40,2011,Wooden,Wooden Warrior,Quassy Amusement Park,"Middlebury, Conn.",Gravity Group,2011
41,2011,Wooden,Viper,Six Flags Great America,"Gurnee, Ill.",Starkey/Six Flags,1995
42,2011,Wooden,The Boss,Six Flags St. Louis,"Eureka, Mo.",CCI,2000
43,2011,Wooden,Racer,Kennywood,"West Mifflin, Pa.",Miller,1927
44,2011,Wooden,Wild Mouse,Blackpool Pleasure Beach,"Blackpool, England",Wright,1958
44,2011,Wooden,Zippin Pippin,Bay Beach Amusement Park,"Green Bay, Wis.",M&V/Gravity Group,2011
46,2011,Wooden,Blue Streak,Conneaut Lake Park,"Conneaut Lake, Pa.",Vettel,1938
47,2011,Wooden,Rattler,Six Flags Fiesta Texas,"San Antonio, Texas",Pierce,1992
48,2011,Wooden,Rutschebanan,Tivoli Gardens,"Copenhagen, Denmark",unknown,ca. 1915
49,2011,Wooden,Blue Streak,Cedar Point,"Sandusky, Ohio",PTC-Hoover,1964
50,2011,Wooden,Tonnerre de Zeus,Parc Asterix,"Plailly, France",CCI,1997
1,2010,Wooden,The Voyage,Holiday World,"Santa Claus, Ind.",Gravity Group,2006
2,2010,Wooden,El Toro,Six Flags Great Adventure,"Jackson, N.J.",Intamin,2006
3,2010,Wooden,Phoenix,Knoebels Amusement Resort,"Elysburg, Pa.",Dinn/PTC-Schmeck,1985
4,2010,Wooden,Boulder Dash,Lake Compounce,"Bristol, Conn.",CCI,2000
5,2010,Wooden,Thunderhead,Dollywood,"Pigeon Forge, Tenn.",GCII,2004
6,2010,Wooden,Ravine Flyer II,Waldameer,"Erie, Pa.",Gravity Group,2008
7,2010,Wooden,The Beast,Kings Island,"Kings Mills, Ohio",KECO,1979
8,2010,Wooden,Hades 360,Mt. Olympus Theme Park,"Wisconsin Dells, Wis.",Gravity Group,2005
9,2010,Wooden,The Raven,Holiday World,"Santa Claus, Ind.",CCI,1995
10,2010,Wood,Lightning Racer,Hersheypark,"Hershey, Pa.",GCII,2000
11,2010,Wood,Shivering Timbers,Michigan's Adventure,"Muskegon, Mich.",CCI,1998
12,2010,Wood,Prowler,Worlds of Fun,"Kansas City, Mo.",GCII,2009
13,2010,Wood,Cyclone,Coney Island,"Brooklyn, N.Y.",Keenan/Baker,1927
14,2010,Wood,Thunderbolt,Kennywood,"West Mifflin, Pa.",Vettel/Miller,1968
15,2010,Wood,The Legend,Holiday World,"Santa Claus, Ind.",CCI,2000
16,2010,Wood,Kentucky Rumbler,Beech Bend,"Bowling Green, Ky.",GCII,2006
17,2010,Wood,Comet,Six Flags Great Escape,"Lake George, N.Y.",PTC-Schmeck,1994
18,2010,Wood,Colossos,Heide Park,"Soltau, Germany",Intamin,2001
19,2010,Wood,Avalanche,Timber Falls,"Wisconsin Dells, Wis.",S&S,2004
20,2010,Wood,Jack Rabbit,Kennywood,"West Mifflin, Pa.",PTC – Miller,1921
21,2010,Wood,Balder,Liseberg,"Stockholm, Sweden",Intamin,2003
22,2010,Wood,Giant Dipper,Santa Cruz Beach Boardwalk,"Santa Cruz, Calif.",Prior & Church/Looff,1924
23,2010,Wood,American Thunder,Six Flags St. Louis,"Eureka, Mo.",GCII,2008
24,2010,Wood,GhostRider,Knott's Berry Farm,"Buena Park, Calif.",CCI,1998
25,2010,Wood,Tremors,Silverwood,"Athol, Idaho",CCI,1999
26,2010,Wood,Coaster,PNE Playland,"Vancouver, B.C. Canada",Phare,1958
27,2010,Wood,Apocalypse,Six Flags Magic Mountain,"Valencia, Calif.",GCII,2009
28,2010,Wood,Grand National,Blackpool Pleasure Beach,"Blackpool, England",Paige,1935
29,2010,Wood,Cornball Express,Indiana Beach,"Monticello, Ind.",CCI,2001
30,2010,Wood,Megafobia,Oakwood Leisure Park,"Pembrokshire, Wales",CCI,1996
31,2010,Wood,The Boss,Six Flags St. Louis,"Eureka, Mo.",CCI,2000
32,2010,Wood,Twister,Knoebels Amusement Resort,"Elysburg, Pa.",Fetterman/Knoebels,1999
33,2010,Wood,Rampage,Alabama Splash Adventure,"Bessemer, Ala.",CCI,1998
34,2010,Wood,Viper,Six Flags Great America,"Gurnee, Ill.",Starkey/Six Flags,1995
35,2010,Wood,Racer,Kennywood,"West Mifflin, Pa.",PTC-Miller,1927
36,2010,Wood,T Express,Everland,"Yongin-si, South Korea",Intamin,2008
37,2010,Wood,Thunderbird,PowerPark,"Alaharma, Finland",GCII,2006
38,2010,Wood,Boardwalk Bullet,Kemah Boardwalk,"Kemah, Texas",M&V/Gravity Group,2007
39,2010,Wood,Dania Beach Hurricane,Boomers!,"Dania Beach, Fla.",Coaster Works,2000
40,2010,Wood,Tonnerre de Zeus,Parc Asterix,"Plailly, France",CCI,1997
41,2010,Wood,Troy,Toverland,"Sevenum, The Netherlands",GCII,2007
42,2010,Wood,Aska,Nara Dreamland,"Nara, Japan",Intamin,1998
42,2010,Wood,Renegade,Valleyfair,"Shakopee, Minn.",GCII,2007
44,2010,Wood,Timber Terror,Silverwood,"Athol, Idaho",CCI,1996
45,2010,Wood,Grizzly,Kings Dominion,"Doswell, Va.",KECO-Summers,1982
46,2010,Wood,Gwazi,Busch Gardens Tampa,"Tampa Bay, Fla.",GCII,1999
47,2010,Wood,Blue Streak,Cedar Point,"Sandusky, Ohio",PTC-Hoover,1964
47,2010,Wood,Georgia Cyclone,Six Flags Over Georgia,"Atlanta, Ga.",Dinn-Summers,1990
49,2010,Wood,Giant Dipper,Belmont Park,"San Diego, Calif.",Prior & Church,1925
50,2010,Wood,Cyclone,Lakeside Park,"Denver, Colo.",Vettel,1940
