Rank,Year_of_Rank,Award_Category,Name,Park,Location,Supplier,Year_Built
47,2015,Steel,Expedition Everest,Disney's Animal Kingdom,"Orlando, Fla.",Vekoma,2006
48,2015,Steel,Olympia Looping,Weiner Prater,"Vienna, Austria",Schwarzkopf,1989
49,2015,Steel,Kingda Ka,Six Flags Great Adventure,"Jackson, N.J.",Intamin,2005
49,2015,Steel,Medusa Steel Coaster,Six Flags Mexico,"Mexico City, Mexico",Rocky Mountain,2014
1,'14,Steel,Millennium Force,Cedar Point,"Sandusky, Ohio",Intamin,2000
2,'14,Steel,Bizarro,Six Flags New England,"Agawam, Mass.",Intamin,2000
3,'14,Steel,Expedition GeForce,Holiday Park,"Hassloch, Germany",Intamin,2001
4,'14,Steel,Diamondback,Kings Island,"Mason, Ohio",B&M,2009
5,'14,Steel,Nitro,Six Flags Great Adventure,"Jackson, N.J.",B&M,2001
6,'14,Steel,Leviathan,Canada's Wonderland,"Vaughan, Ont., Canada",B&M,2012
7,'14,Steel,Apollo's Chariot,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,1999
8,'14,Steel,New Texas Giant,Six Flags Over Texas,"Arlington, Texas",Rocky Mountain,2011
9,'14,Steel,Goliath,Six Flags Over Georgia,"Austell, Ga.",B&M,2006
10,'14,Steel,Intimidator,Carowinds,"Charlotte, N.C.",B&M,2010
11,'14,Steel,Phantom's Revenge,Kennywood,"West Mifflin, Pa.",Morgan,2001
12,'14,Steel,Iron Rattler,Six Flags Fiesta Texas,"San Antonio, Texas",Rocky Mountain,2013
13,'14,Steel,Magnum XL-200,Cedar Point,"Sandusky, Ohio",Arrow,1989
13,'14,Steel,Intimidator 305,Kings Dominion,"Doswell, Va.",Intamin,2010
15,'14,Steel,Behemoth,Canada's Wonderland,"Vaughan, Ont., Canada",B&M,2008
16,'14,Steel,Banshee,Kings Island,"Mason, Ohio",B&M,'14
17,'14,Steel,Blue Fire Megacoaster,Europa-Park,"Rust, Germany",Mack,2009
18,'14,Steel,X2,Six Flags Magic Mountain,"Valencia, Calif.",Arrow,2002
19,'14,Steel,Top Thrill Dragster,Cedar Point,"Sandusky, Ohio",Intamin,2003
20,'14,Steel,Mind Bender,Six Flags Over Georgia,"Austell, Ga.",Schwarzkopf,1978
21,'14,Steel,Nemesis,Alton Towers,"Staffordshire, England",B&M,1994
22,'14,Steel,Montu,Busch Gardens Tampa,"Tampa, Fla.",B&M,1996
23,'14,Steel,Alpengeist,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,1997
24,'14,Steel,Black Mamba,Phantasialand,"Brühl, Germany",B&M,2006
25,'14,Steel,Lightning Run,Kentucky Kingdom,"Louisville, Ky.",Chance,'14
26,'14,Steel,Goliath,La Ronde,"Montreal, Quebec, Canada",B&M,2006
26,'14,Steel,Skyrush,Hersheypark,"Hershey, Pa.",Intamin,2012
28,'14,Steel,Maverick,Cedar Point,"Sandusky, Ohio",Intamin,2007
28,'14,Steel,Wild Eagle,Dollywood,"Pigeon Forge, Tenn.",B&M,2012
30,'14,Steel,Helix,Liseberg,"Gothenburg, Sweden",Mack,'14
31,'14,Steel,Raging Bull,Six Flags Great America,"Gurnee, Ill.",B&M,1999
32,'14,Steel,GateKeeper,Cedar Point,"Sandusky, Ohio",B&M,2013
33,'14,Steel,Griffon,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,2007
34,'14,Steel,Tatsu,Six Flags Magic Mountain,"Valencia, Calif.",B&M,2006
35,'14,Steel,Lisebergbanan,Liseberg,"Gothenburg, Sweden",Schwarzkopf,1987
36,'14,Steel,Kumba,Busch Gardens Tampa,"Tampa, Fla.",B&M,1993
37,'14,Steel,Steel Force,Dorney Park,"Allentown, Pa.",Morgan,1998
38,'14,Steel,SheiKra,Busch Gardens Tampa,"Tampa, Fla.",B&M,2005
39,'14,Steel,Full Throttle,Six Flags Magic Mountain,"Valencia, Calif.",Premier,2013
40,'14,Steel,Shock Wave,Six Flags Over Texas,"Arlington, Texas",Schwarzkopf,1978
41,'14,Steel,Manta,SeaWorld Orlando,"Orlando, Fla.",B&M,2009
42,'14,Steel,Euro-Mir,Europa-Park,"Rust, Germany",Mack,1997
43,'14,Steel,Goliath,Six Flags Magic Mountain,"Valencia, Calif.",Giovanola,2000
44,'14,Steel,Whizzer,Six Flags Great America,"Gurnee, Ill.",Schwarzkopf,1976
45,'14,Steel,Kingda Ka,Six Flags Great Adventure,"Jackson, N.J.",Intamin,2005
46,'14,Steel,Piraten,Djurs Sommerland,"Jylland, Denmark",Intamin,2008
47,'14,Steel,Raptor,Cedar Point,"Sandusky, Ohio",B&M,1994
48,'14,Steel,Cheetah Hunt,Busch Gardens Tampa,"Tampa, Fla.",Intamin,2011
49,'14,Steel,Incredicoaster,Disney California Adventure Park,"Anaheim, Calif.",Intamin,2001
49,'14,Steel,Volcano: The Blast Coaster,Kings Dominion,"Doswell, Va.",Intamin,1998
1,2013,Steel,Millennium Force,Cedar Point,"Sandusky, Ohio",Intamin,2000
2,2013,Steel,Bizarro,Six Flags New England,"Agawam, Mass.",Intamin,2000
3,2013,Steel,Expedition GeForce,Holiday Park,"Hassloch, Germany",Intamin,2001
4,2013,Steel,Nitro,Six Flags Great Adventure,"Jackson, N.J.",B & M,2001
5,2013,Steel,Apollo's Chariot,Busch Gardens Williamsburg,"Williamsburg, Va.",B & M,1999
6,2013,Steel,New Texas Giant,Six Flags Over Texas,"Arlington, Texas",Rocky Mountain,2011
7,2013,Steel,Goliath,Six Flags Over Georgia,"Austell, Ga.",B & M,2006
8,2013,Steel,Intimidator,Carowinds,"Charlotte, N.C.",B & M,2010
9,2013,Steel,Magnum XL-200,Cedar Point,"Sandusky, Ohio",Arrow,1989
10,2013,Steel,Intimidator 305,Kings Dominion,"Doswell, Va.",Intamin,2010
11,2013,Steel,Iron Rattler,Six Flags Fiesta Texas,"San Antonio, Texas",Rocky Mountain,2013
12,2013,Steel,Top Thrill Dragster,Cedar Point,"Sandusky, Ohio",Intamin,2003
13,2013,Steel,Phantom's Revenge,Kennywood,"West Mifflin, Pa.",Morgan/Arrow,2001
14,2013,Steel,Diamondback,Kings Island,"Mason, Ohio",B & M,2009
15,2013,Steel,Leviathan,Canada's Wonderland,"Vaughan, Ontario, Canada",B & M,2012
16,2013,Steel,X2,Six Flags Magic Mountain,"Valencia, Calif.",Arrow,2002
17,2013,Steel,Behemoth,Canada's Wonderland,"Vaughan, Ontario, Canada",B & M,2008
18,2013,Steel,Montu,Busch Gardens Tampa,"Tampa, Fla.",B & M,1996
19,2013,Steel,Mind Bender,Six Flags Over Georgia,"Austell, Ga.",Schwarzkopf,1978
20,2013,Steel,Nemesis,Alton Towers,"Staffordshire, England",B & M,1994
21,2013,Steel,Blue Fire,Europa-Park,"Rust, Germany",Mack,2009
22,2013,Steel,Maverick,Cedar Point,"Sandusky, Ohio",Intamin,2007
23,2013,Steel,Goliath,La Ronde,"Montreal, Quebec, Canada",B & M,2006
24,2013,Steel,Wild Eagle,Dollywood,"Pigeon Forge, Tenn.",B & M,2012
25,2013,Steel,Alpengeist,Busch Gardens Williamsburg,"Williamsburg, Va.",B & M,1997
26,2013,Steel,Skyrush,Hersheypark,"Hershey, Pa.",Intamin,2012
27,2013,Steel,Kumba,Busch Gardens Tampa,"Tampa, Fla.",B & M,1993
28,2013,Steel,GateKeeper,Cedar Point,"Sandusky, Ohio",B & M,2013
29,2013,Steel,Shock Wave,Six Flags Over Texas,"Arlington, Texas",Schwarzkopf,1978
30,2013,Steel,Raptor,Cedar Point,"Sandusky, Ohio",B & M,1994
31,2013,Steel,Raging Bull,Six Flags Great America,"Gurnee, Ill.",B & M,1999
32,2013,Steel,SheiKra,Busch Gardens Tampa,"Tampa, Fla.",B & M,2005
33,2013,Steel,Griffon,Busch Gardens Williamsburg,"Williamsburg, Va.",B & M,2007
34,2013,Steel,Black Mamba,Phantasialand,"Brühl, Germany",B & M,2006
35,2013,Steel,Afterburn,Carowinds,"Charlotte, N.C.",B & M,1999
35,2013,Steel,Kingda Ka,Six Flags Great Adventure,"Jackson, N.J.",Intamin,2005
37,2013,Steel,Steel Force,Dorney Park,"Allentown, Pa.",Morgan,1998
38,2013,Steel,Superman Ride of Steel,Six Flags Great America,"Largo, Md.",Intamin,2000
39,2013,Steel,Volcano: The Blast Coaster,Kings Dominion,"Doswell, Va.",Intamin,1998
40,2013,Steel,Whizzer,Six Flags Great America,"Gurnee, Ill.",Schwarzkopf,1976
41,2013,Steel,Goliath,Six Flags Magic Mountain,"Valencia, Calif.",Giovanola,2000
42,2013,Steel,Expedition Everest,Disney's Animal Kingdom,"Orlando, Fla.",Vekoma/WED Imagineering,2006
42,2013,Steel,PowderKeg,Silver Dollar City,"Branson, Mo.",S & S,2005
42,2013,Steel,Titan,Six Flags Over Texas,"Arlington, Texas",Giovanola,2001
45,2013,Steel,Olympia Looping,Weiner Prater,"Vienna, Austria",Schwarzkopf,1989
45,2013,Steel,X-Flight,Six Flags Great America,"Gurnee, Ill.",B & M,2012
47,2013,Steel,Dominator,Kings Dominion,"Doswell, Va.",B & M,2008
48,2013,Steel,Kraken,SeaWorld Orlando,"Orlando, Fla.",B & M,2000
48,2013,Steel,Lisebergbanan,Liseberg,"Gothenburg, Sweden",Schwarzkopf,1987
50,2013,Steel,Tatsu,Six Flags Magic Mountain,"Valencia, Calif.",B & M,2006
1,2012,Steel,Millennium Force,Cedar Point,"Sandusky, Ohio",Intamin,2000
2,2012,Steel,Bizarro,Six Flags New England,"Agawam, Mass.",Intamin,2000
3,2012,Steel,Nitro,Six Flags Great Adventure,"Jackson, N.J.",B & M,2001
4,2012,Steel,Apollo's Chariot,Busch Gardens Williamsburg,"Williamsburg, Va.",B & M,1999
5,2012,Steel,New Texas Giant,Six Flags Over Texas,"Arlington, Texas",Rocky Mountain,2011
6,2012,Steel,Expedition GeForce,Holiday Park,"Hassloch, Germany",Intamin,2001
7,2012,Steel,Intimidator,Carowinds,"Charlotte, N.C.",B & M,2010
8,2012,Steel,Magnum XL-200,Cedar Point,"Sandusky, Ohio",Arrow,1989
9,2012,Steel,Goliath,Six Flags Over Georgia,"Austell, Ga.",B & M,2006
10,2012,Steel,Diamondback,Kings Island,"Mason, Ohio",B & M,2009
11,2012,Steel,Phantom's Revenge,Kennywood,"West Mifflin, Pa.",Morgan/Arrow,2001
12,2012,Steel,Intimidator 305,Kings Dominion,"Doswell, Va.",IntaRide,2010
13,2012,Steel,Top Thrill Dragster,Cedar Point,"Sandusky, Ohio",Intamin,2003
14,2012,Steel,Montu,Busch Gardens Tampa,"Tampa, Fla.",B & M,1996
15,2012,Steel,Wild Eagle,Dollywood,"Pigeon Forge, Tenn.",B & M,2012
16,2012,Steel,Nemesis,Alton Towers,"Staffordshire, England",B & M,1994
17,2012,Steel,Behemoth,Canada's Wonderland,"Vaughan, Ontario, Canada",B & M,2008
18,2012,Steel,X2,Six Flags Magic Mountain,"Valencia, Calif.",Arrow,2002
19,2012,Steel,Raging Bull,Six Flags Great America,"Gurnee, Ill.",B & M,1999
20,2012,Steel,Mind Bender,Six Flags Over Georgia,"Austell, Ga.",Schwarzkopf,1978
21,2012,Steel,Maverick,Cedar Point,"Sandusky, Ohio",Intamin,2007
22,2012,Steel,Leviathan,Canada's Wonderland,"Vaughan, Ontario, Canada",B & M,2012
23,2012,Steel,Kumba,Busch Gardens Tampa,"Tampa, Fla.",B & M,1993
24,2012,Steel,Alpengeist,Busch Gardens Williamsburg,"Williamsburg, Va.",B & M,1997
25,2012,Steel,Goliath,La Ronde,"Montreal, Quebec, Canada",B & M,2006
26,2012,Steel,Griffon,Busch Gardens Williamsburg,"Williamsburg, Va.",B & M,2007
26,2012,Steel,Shock Wave,Six Flags Over Texas,"Arlington, Texas",Schwarzkopf,1978
28,2012,Steel,Tatsu,Six Flags Magic Mountain,"Valencia, Calif.",B & M,2006
29,2012,Steel,Superman Ride of Steel,Six Flags Great America,"Largo, Md.",Intamin,2000
30,2012,Steel,SheiKra,Busch Gardens Tampa,"Tampa, Fla.",B & M,2005
31,2012,Steel,Raptor,Cedar Point,"Sandusky, Ohio",B & M,1994
32,2012,Steel,Blue Fire,Europa-Park,"Rust, Germany",Mack,2009
33,2012,Steel,Lisebergbanan,Liseberg,"Gothenberg, Sweden",Schwarzkopf,1987
34,2012,Steel,Manta,SeaWorld Orlando,"Orlando, Fla.",B & M,2009
35,2012,Steel,Dragon Challenge,Universal's Islands of Adventure,"Orlando, Fla.",B & M,1999
36,2012,Steel,Titan,Six Flags Over Texas,"Arlington, Texas",Giovanola,2001
37,2012,Steel,Piraten,Djurs Sommerland,"Jylland, Denmark",Intamin,2008
38,2012,Steel,Kingda Ka,Six Flags Great Adventure,"Jackson, N.J.",Intamin,2005
39,2012,Steel,Steel Force,Dorney Park,"Allentown, Pa.",Morgan,1997
40,2012,Steel,Volcano: The Blast Coaster,Kings Dominion,"Doswell, Va.",Intamin,1998
41,2012,Steel,Goliath,Six Flags Magic Mountain,"Valencia, Calif.",Giovanola,2000
42,2012,Steel,Skyrush,Hersheypark,"Hershey, Pa.",Intamin,2012
43,2012,Steel,Ride of Steel,Six Flags Darien Lake,"Darien Center, N.Y.",Intamin,1999
44,2012,Steel,Storm Runner,Hersheypark,"Hershey, Pa.",Intamin,2004
45,2012,Steel,Afterburn,Carowinds,"Charlotte, N.C.",B & M,1999
46,2012,Steel,PowderKeg,Silver Dollar City,"Branson, Mo.",S & S,2005
47,2012,Steel,Incredible Hulk,Universal's Islands of Adventure,"Orlando, Fla.",B & M,1999
48,2012,Steel,Goliath,Walabi Holland,"Biddinghuizen, The Netherlands",Intamin,2002
49,2012,Steel,Black Mamba,Phantasialand,"Brühl, Germany",B & M,2006
50,2012,Steel,Euro-Mir,Europa-Park,"Rust, Germany",Mack,1997
1,2011,Steel,Millennium Force,Cedar Point,"Sandusky, Ohio",Intamin,2000
2,2011,Steel,Bizarro,Six Flags New England,"Agawam, Mass.",Intamin,2000
3,2011,Steel,Nitro,Six Flags Great Adventure,"Jackson, N.J.",B & M,2001
4,2011,Steel,Goliath,Six Flags Over Georgia,"Austell, Ga.",B & M,2006
5,2011,Steel,Phantom's Revenge,Kennywood,"West Mifflin, Pa.",B & M,2001
6,2011,Steel,New Texas Giant,Six Flags Over Texas,"Arlington, Texas",Rocky Mountain,2011
7,2011,Steel,Apollo's Chariot,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,1999
7,2011,Steel,Expedition GeForce,Holiday Park,"Hassloch, Germany",Intamin,2001
9,2011,Steel,Top Thrill Dragster,Cedar Point,"Sandusky, Ohio",Intamin,2003
10,2011,Steel,Magnum XL-200,Cedar Point,"Sandusky, Ohio",Arrow,1989
11,2011,Steel,Diamondback,Kings Island,"Kings Mills, Ohio",B & M,2009
12,2011,Steel,Nemesis,Alton Towers,"Staffordshire, England",B & M,1994
13,2011,Steel,Intimidator 305,Kings Dominion,"Doswell, Va.",IntaRide,2010
14,2011,Steel,Montu,Busch Gardens Tampa,"Tampa, Fla.",B & M,1996
15,2011,Steel,Behemoth,Canada's Wonderland,"Vaughan, Ontario, Canada",B & M,2008
16,2011,Steel,X2,Six Flags Magic Mountain,"Valencia, Calif.",Arrow,2002
17,2011,Steel,Mind Bender,Six Flags Over Georgia,"Austell, Ga.",Schwarzkopf,1978
18,2011,Steel,Raptor,Cedar Point,"Sandusky, Ohio",B & M,1994
19,2011,Steel,Intimidator,Carowinds,"Charlotte, N.C.",B & M,2010
20,2011,Steel,Griffon,Busch Gardens Williamsburg,"Williamsburg, Va.",B & M,2007
21,2011,Steel,Maverick,Cedar Point,"Sandusky, Ohio",Intamin,2007
22,2011,Steel,SheiKra,Busch Gardens Tampa,"Tampa, Fla.",B & M,2005
23,2011,Steel,Goliath,La Ronde,"Montréal, Quebec, Canada",B & M,2006
24,2011,Steel,Raging Bull,Six Flags Great America,"Gurnee, Ill.",B & M,1999
25,2011,Steel,Titan,Six Flags Over Texas,"Arlington, Texas",Giovanola,2001
26,2011,Steel,Steel Force,Dorney Park,"Allentown, Pa.",Morgan,1997
27,2011,Steel,Alpengeist,Busch Gardens Williamsburg,"Williamsburg, Va.",B & M,1997
28,2011,Steel,Dragon Challenge,Universal's Islands of Adventure,"Orlando, Fla.",B & M,1999
29,2011,Steel,Ride of Steel,Six Flags Darien Lake,"Darien Center, N.Y.",Intamin,1999
29,2011,Steel,Volcano: The Blast Coaster,Kings Dominion,"Doswell, Va.",Intamin,1998
31,2011,Steel,Kumba,Busch Gardens Tampa,"Tampa, Fla.",B & M,1993
32,2011,Steel,Piraten,Djurs Sommerland,"Jylland, Denmark",Intamin,2008
33,2011,Steel,Kingda Ka,Six Flags Great Adventure,"Jackson, N.J.",Intamin,2005
34,2011,Steel,Blue Fire,Europa-Park,"Rust, Germany",Mack,2009
35,2011,Steel,Incredible Hulk,Universal's Islands of Adventure,"Orlando, Fla.",B & M,1999
36,2011,Steel,Goliath,Walabi Holland,"Biddinghulzen, The Netherlands",Intamin,2002
37,2011,Steel,PowderKeg,Silver Dollar City,"Branson, Mo.",S & S,2005
38,2011,Steel,Superman Krypton Coaster,Six Flags Fiesta Texas,"San Antonio, Texas",B & M,2000
39,2011,Steel,Tatsu,Six Flags Magic Mountain,"Valencia, Calif.",B & M,2006
40,2011,Steel,Goliath,Six Flags Magic Mountain,"Valencia, Calif.",Giovanola,2000
40,2011,Steel,Superman Ride of Steel,Six Flags Great America,"Largo, Md.",Intamin,2000
42,2011,Steel,Shock Wave,Six Flags Over Texas,"Arlington, Texas",Schwarzkopf,1978
43,2011,Steel,Space Mountain,Disneyland,"Anaheim, Calif.",WED Imagineering,1977
44,2011,Steel,Sky Rocket,Kennywood,"West Mifflin, Pa.",Premier Rides,2010
45,2011,Steel,Manta,SeaWorld Orlando,"Orlando, Fla.",B & M,2009
45,2011,Steel,Olympia Looping,Weiner Prater,"Vienna, Austria",Schwarzkopf,1989
47,2011,Steel,Expedition Everest,Disney's Animal Kingdom,"Orlando, Fla.",Vekoma/WED Imag.,2006
48,2011,Steel,The Big One,Blackpool Pleasure Beach,"Blackpool, England",Arrow,1994
49,2011,Steel,Lisebergbanan,Liseberg,"Gothenburg, Sweden",Schwarzkopf,1987
50,2011,Steel,Mamba,Worlds of Fun,"Kansas City, Mo.",Morgan,1998
1,2010,Steel,Millennium Force,Cedar Point,"Sandusky, Ohio",Intamin,2000
2,2010,Steel,Bizarro,Six Flags New England,"Agawam, Mass.",Intamin,2000
3,2010,Steel,Nitro,Six Flags Great Adventure,"Jackson, N.J.",B & M,2001
4,2010,Steel,Apollo's Chariot,Busch Gardens Williamsburg,"Williamsburg, Va.",B & M,1999
5,2010,Steel,Goliath,Six Flags Over Georgia,"Atlanta, Ga.",B & M,2006
6,2010,Steel,Expedition GeForce,Holiday Park,"Hassloch, Germany",Intamin,2001
7,2010,Steel,Diamondback,Kings Island,"Kings Mills, Ohio",B & M,2009
8,2010,Steel,Magnum XL-200,Cedar Point,"Sandusky, Ohio",Arrow,1989
9,2010,Steel,Phantom's Revenge,Kennywood,"West Mifflin, Pa.",Morgan/Arrow,2001
10,2010,Steel,Top Thrill Dragster,Cedar Point,"Sandusky, Ohio",Intamin,2003
11,2010,Steel,Intimidator 305,Kings Dominion,"Doswell, Va.",IntaRide,2010
12,2010,Steel,Montu,Busch Gardens Tampa,"Tampa Bay, Fla.",B & M,1996
13,2010,Steel,Behemoth,Canada's Wonderland,"Vaughn, Ontario, Canada",B & M,2008
14,2010,Steel,Mindbender,Six Flags Over Georgia,"Atlanta, Ga.",Schwarzkopf,1978
15,2010,Steel,X2,Six Flags Magic Mountain,"Valencia, Calif.",Arrow,2002
16,2010,Steel,Raging Bull,Six Flags Great America,"Gurnee, Ill.",B & M,1999
17,2010,Steel,Sky Rocket,Kennywood,"West Mifflin, Pa.",Premier Rides,2010
18,2010,Steel,Nemesis,Alton Towers,"Staffordshire, England",B & M,1994
19,2010,Steel,Griffon,Busch Gardens Williamsburg,"Williamsburg, Va.",B & M,2007
19,2010,Steel,SheiKra,Busch Gardens Tampa,"Tampa Bay, Fla.",B & M,2005
21,2010,Steel,Intimidator,Carowinds,"Charlotte, N.C.",B & M,2010
21,2010,Steel,Maverick,Cedar Point,"Sandusky, Ohio",Intamin,2007
23,2010,Steel,Alpengeist,Busch Gardens Williamsburg,"Williamsburg, Va.",B & M,1997
24,2010,Steel,Kumba,Busch Gardens Tampa,"Tampa Bay, Fla.",B & M,1993
24,2010,Steel,Raptor,Cedar Point,"Sandusky, Ohio",B & M,1994
26,2010,Steel,Ride of Steel,Six Flags Darien Lake,"Darien Center, N.Y.",Intamin,1999
27,2010,Steel,Kingda Ka,Six Flags Great Adventure,"Jackson, N.J.",Intamin,2005
27,2010,Steel,Steel Force,Dorney Park,"Allentown, Pa.",Morgan,1997
29,2010,Steel,Goliath,Six Flags Magic Mountain,"Valencia, Calif.",Giovanola,2000
30,2010,Steel,Goliath,La Ronde,"Montreal, Quebec, Canada",B & M,2006
31,2010,Steel,Dragon Challenge,Universal's Islands of Adventure,"Orlando, Fla.",B & M,1999
32,2010,Steel,Superman Ride of Steel,Six Flags Great America,"Largo, Md.",Intamin,2000
33,2010,Steel,Manta,SeaWorld Orlando,"Orlando, Fla.",B & M,2009
34,2010,Steel,PowderKeg,Silver Dollar City,"Branson, Mo.",S & S,2005
35,2010,Steel,Volcano,Kings Dominion,"Doswell, Va.",Intamin,1998
36,2010,Steel,Expedition Everest,Disney's Animal Kingdom,"Orlando, Fla.",Vekoma/WED Imag.,2006
37,2010,Steel,Shock Wave,Six Flags Over Texas,"Arlington, Texas",Schwarzkopf,1978
38,2010,Steel,Mamba,Worlds of Fun,"Kansas City, Mo.",Morgan,1998
39,2010,Steel,Storm Runner,Hersheypark,"Hershey, Pa.",Intamin,2004
40,2010,Steel,Tatsu,Six Flags Magic Mountain,"Valencia, Calif.",B & M,2006
41,2010,Steel,Goliath,Walabi Holland,"Biddinghuizen, The Netherlands",Intamin,2002
42,2010,Steel,Titan,Six Flags Over Texas,"Arlington, Texas",Giovanola,2001
43,2010,Steel,Incredible Hulk,Universal's Islands of Adventure,"Orlando, Fla.",B & M,1999
44,2010,Steel,The Big One,Blackpool Pleasure Beach,"Blackpool, England",Arrow,1994
45,2010,Steel,Euro-Mir,Europa-Park,"Rust, Germany",Mack,1997
46,2010,Steel,Space Mountain,Disneyland,"Anaheim, Calif.",WED Imagineering,1977
47,2010,Steel,Steel Eel,SeaWorld San Antonio,"San Antonio, Texas",Morgan,1999
48,2010,Steel,Mindbender,Galaxyland,"Edmonton, Alberta, Canada",Schwarzkopf,1985
48,2010,Steel,Revenge of the Mummy,Universal's Islands of Adventure,"Orlando, Fla.",Premier Rides,2004
50,2010,Steel,Katun,Mirabilandia,"Savio, Italy",B & M,2000
